fioriId,LineofBusiness,RoleName,AppName,ApplicationType,App Launcher Title - Subtitle,ApplicationComponent,UITechnology,ProductCategory,Database,FrontendProductVersion,ProductVersionNameBackend,HANAProductVersion,FrontendProductVersionStack,BackendProductVersionStack,HANAProductVersionStack,Semantic Object Action,TechnicalCatalogName,TechnicalCatalogDescription,BusinessCatalogName,BusinessCatalogDescription,BusinessGroupName,BusinessGroupDescription,Page,Page Title,Space,Space Title,LeadingBusinessRoleName,LeadingBusinessRoleDescription,AdditionalBusinessRoleName,AdditionalBusinessRoleDescription,Industry,Fiori UI Adaptation,GTMAppDescription,BSPName,BSPApplicationURL,SAPUI5ComponentId,LeadingTransactionCodes,WDAConfiguration,Link,
F2270,Sales,Sales Manager,Sales Volume - Check Open Sales,Analytical,Sales Volume - Check Open Sales,SD-FIO-HBA,SAP Fiori: SAP Smart Business generic drill down app,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,"BillingDocument-ssb_Check_Opn_Sls, BillingDocument-ssb_Check_Opn_Sls_ForNav",SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,"SAP_SD_BC_SALES_ANLYTS_OP, SAP_SD_BC_ANLY_OPERATIONAL, SAP_SD_BC_SALES_OVP_DISPL","Sales - Analytics, Sales - Operational Analytics, Sales - Sales Overview","SAP_SD_BCG_SALES_ANLYTS_OP, SAP_SD_BCG_SALES_ANALYTICS_ISR","Sales Analytics, Sales Analytics",,,,,SAP_BR_SALES_MANAGER,Sales Manager,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you as a sales manager can check your sales volume in comparison with previous months, with the additional insight of open orders and open deliveries for the current month.  This enables you to see at a glance how the current month's sales volume relates to the previous month, and shows you where you can still increase your sales volume in the current period, for example, open orders, open billing requests, open deliveries. The app uses the following key figures:     Key Figure   Description   Representation Term      Sales Volume   The total invoiced sales achieved during a specified period. This is based on invoice items or debit memo items (debits) that have not been canceled.   Net Amount, Quantity     Credit Memos   The total amount of credit memos during a specified period. This is based on credit memo items (credits) that have not been canceled.    Net Amount, Quantity     Profit Margin   The difference between sales volume and costs   Percentage, Net Amount     Credit Memo Profit Margin  The difference between credit memos and costs Net Amount    Net Sales Volume   Sales volume minus credit memos   Net Amount      Net Profit Margin   Profit margin minus credit memo profit margin   Net Amount     Net Sales Cost   Costs of sales volume minus costs of credit memos  Note The determination of the cost depends on the sales process. One central attribute is Cost in document currency in the Billing Document Item (I_BillingDocumentItem) query.The following are some examples of possible sales processes:1. Sell-from-StockIn this case, the cost is usually taken from a condition, which is filled from the material valuation in the product master or, in the case of billing, the goods issue. 2. Third-Party In this case, the cost is usually taken from a condition, which is filled from the material valuation in the product master or, in the case of billing, the invoice receipt.3. Intercompany In this case, the cost is usually taken from a condition record of an intercompany price.     Net Amount     Open Orders   Confirmed sales orders for which a delivery document has not yet been created in the period of the planned billing date (goods issue date). In this case, the net amount of the confirmed schedule lines is shown. In the case of unconfirmed or partially unconfirmed sales orders, the net amount of the not yet confirmed requested schedule line is shown, and the billing date defines the analysis period, for example, month, in which the schedule line is displayed.  Note Scheduling agreements with release are not considered in the calculation of open orders.   Net Amount     Open Billing Requests   Sales documents which are relevant for invoicing, but which have not yet been invoiced in the context of debit memos, for example, debit memo requests or sales orders with billing plans   Net Amount     Open Credit Memo Requests   Returns or credit memo requests for order-related invoicing which have not yet been invoiced   Net Amount, Quantity   Overall Open Orders Orders that have been confirmed for delivery, but for which a delivery document has not yet been created (Open Orders), orders which are relevant for invoicing but have not been fully invoiced (Open Billing Requests), or orders which include a billing plan, but in which a customer invoice has not yet been created in the period of the planned billing dates (Open Orders for Billing Plans) Net Amount    Open Deliveries    Deliveries in which a delivery quantity is not fully invoiced    Net Amount, Quantity     Deliveries Shipped But Not Invoiced   Deliveries in which a goods issue is posted, but not fully invoiced   Net Amount, Quantity     Note The key figures are calculated based on items that are part of business objects, for example, invoice items in invoices, or credit memo items in credit memos. However, this can also be mixed, for example, credit memo items can be part of invoices, but still contribute to the Credit Memo key figure.",SBRT_APPSS1,/sap/bc/ui5_ui5/sap/sbrt_appss1,k1519822881621,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2270
F2271,Sales,Sales Manager,Sales Volume - Profit Margin,Analytical,Sales Volume - Profit Margin,SD-FIO-HBA,SAP Fiori: SAP Smart Business generic drill down app,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,"BillingDocument-ssb_Profit_Margin, BillingDocument-ssb_Profit_Margin_MonthNav",SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,"SAP_SD_BC_SALES_ANLYTS_OP, SAP_SD_BC_SALES_OVP_DISPL","Sales - Analytics, Sales - Sales Overview",SAP_SD_BCG_SALES_ANLYTS_OP,Sales Analytics,,,,,SAP_BR_SALES_MANAGER,Sales Manager,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you as a sales manager can gain insights into the number of credit memos resulting from returns and complaints, and cancellations, that is, invoices that have been canceled due to internal errors in your company. From here, you can investigate the reasons for returns and complaints. The app uses the following key figures:     Key Figure   Description   Representation Term      Sales Volume   The total invoiced sales achieved during a specified period. This is based on invoice items or debit memo items (debits) that have not been canceled.   Net Amount      Credit Memos   The total amount of credit memos during a specified period. This is based on credit memo items (credits) that have not been canceled.   Net Amount, Quantity     Cancellations   The total amount of invoices that have been canceled during a specified period. This is based on customer invoices that have been canceled. Cancellation documents are not considered at all.    Net Amount     Profit Margin   The difference between sales volume and costs   Percentage, Net Amount     Credit Memo Profit Margin   The difference between credit memos and costs   Net Amount     Net Sales Volume   Sales volume minus credit memos   Net Amount      Net Profit Margin  Profit margin minus credit memo profit margin  Net Amount     Net Sales Cost   The difference between sales volume and costsNote The determination of the cost depends on the sales process. One central attribute is Cost in document currency in the Billing Document Item (I_BillingDocumentItem) query.The following are some examples of possible sales processes:1. Sell-from-StockIn this case, the cost is usually taken from a condition, which is filled from the material valuation segment in the product master or, in the case of billing, the goods issue. 2. Third-Party In this case, the cost is usually taken from a condition, which is filled from the material valuation segment in the product master or, in the case of billing, the invoice receipt.3. Intercompany In this case, the cost is usually taken from a condition record of an intercompany price.    Net Amount    Note The key figures are calculated based on items that are part of business objects, for example, invoice items in customer invoices, or credit memo items in credit memos. However, this can also be mixed, for example, credit memo items can be part of invoices, but still contribute to the Credit Memo key figure.",SBRT_APPSS1,/sap/bc/ui5_ui5/sap/sbrt_appss1,k1478774453126,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2271
F2458,Sales,Sales Manager,Sales Orders - Demand Fulfillment,Analytical,Sales Orders - Demand Fulfillment,SD-FIO-HBA,SAP Fiori: SAP Smart Business generic drill down app,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesOrder-ssb_Demand_Flmt,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_ANLYTS_OP,Sales - Analytics,SAP_SD_BCG_SALES_ANLYTS_OP,Sales Analytics,,,,,SAP_BR_SALES_MANAGER,Sales Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you as a sales manager can use 3 different tiles for the following purposes: Sales Order Items - Confirmed With this tile, you can use planned figures to ensure customer satisfaction, by checking whether your sales orders have been confirmed for delivery on the date requested by your customer, without any restrictions or delays. The app shows you whether the percentage of confirmed sales orders has increased or decreased.  The app tile displays the percentage of confirmed sales orders for the last 3 weeks. You can drill-down by plant and material, for example.  You can branch to the material and sales order object pages.    Sales Order Items - Backorders With this tile, you can identify backlogs or bottlenecks regarding your customer's requested quantity and delivery date. This allows you to see where you can increase future sales volume and customer satisfaction, for example, by collaborating with your team to transfer order confirmations from a C customer to an A customer. Backorders are orders that cannot be confirmed due to a lack of product availability, for example, if order items are partially confirmed or not confirmed for the requested delivery date.  The app shows you whether the number of backorders has increased or decreased, and whether business is going well with the right customers. For example, is it going well with C customers, and your A customers are being neglected? If so, you can transfer order confirmations from C to A customers.  You can drill-down by plant and material, for example.  You can branch to the material and sales order object pages. You can use the associated Sales Order Fulfillment app to resolve unconfirmed quantities, and delivery and credit blocks.   Sales Orders - Demand FulfillmentWith this tile, you can identify bottlenecks that hinder you in fulfilling your customer's requirements, by not delivering their goods by or before the requested delivery date. The app provides you with a basis for collaborating with your demand planner, for example, to solve issues regarding the availability of specific products.",SBRT_APPSS1,/sap/bc/ui5_ui5/sap/sbrt_appss1,k1478774262020,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2458
F2577,Sales,Internal Sales Representative,Track Sales Orders (S/4HANA),"Transactional, Analytical",Track Sales Orders,SD-FIO-HBA,SAP Fiori elements,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,"SalesOrder-trackStatus, DebitMemoRequest-trackStatus, SalesOrderWithoutCharge-trackStatus",SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,"SAP_SD_BC_SO_PROC_OP, SAP_SD_BC_SLS_ORD_TRACKING","Sales - Sales Order Processing, Sales - Sales Order Monitoring and Tracking","SAP_SD_BCG_SO_PROC_OP, SAP_SD_BCG_SLS_ORD_TRACKING","Sales Orders, Sales Order Monitoring and Tracking",,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,"SAP_BR_OPERATION_CLERK_ACM, SAP_BR_SALES_MANAGER, SAP_BR_SETTLEMENT_CLERK_ACM","Operations Clerk (ACM), Sales Manager, Settlement Clerk (ACM)","Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Higher Education and Research; Industrial Manufacturing; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Public Sector; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"With this app, you can check whether a sales order's fulfillment is on track. You can immediately recognize whether the sales order contains issues, and whether it is complete, or still in process. For example, you can see whether it has been shipped, invoiced, or whether the corresponding journal entry in accounting has been cleared. If, for example, a customer or manager asks for information about one or more orders belonging to a specific customer, you can use this app to provide this information quickly.  You can also navigate to the Track Sales Order Details app to visualize the sales order fulfillment status of a specific sales order and its subsequent documents in more detail.",SOTRACKSTATUSS1,/sap/bc/ui5_ui5/sap/sotrackstatuss1,cus.sd.sofulfil.trackstatuss1,VA03,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2577
F2601,Sales,Sales Manager,Sales Management Overview,Analytical,Sales Management Overview - Track Execution,SD-FIO-HBA,SAP Fiori elements: Overview Page,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,Sales-displayOverviewPage,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SLSMGR_OVP,Sales - Sales Manager Overview,SAP_SD_BCG_SLSMGR_OVP,Management Overview,,,,,SAP_BR_SALES_MANAGER,Sales Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this feature you as a sales manager can get a graphical overview of your various sales data on analytical cards. You can further analyze the data by navigating to related analytical apps from the cards. Using this app, you can gain comprehensive insights into your current sales situation and respond quickly.",SD_OVP_SMS1,/sap/bc/ui5_ui5/sap/sd_ovp_sms1,cus.sd.ovp.sm,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2601
F2783,Sales,Sales Manager,Delivery Performance - Delivered as Requested,Analytical,"Delivery Performance - Delivered as Committed, Delivery Performance - Delivered as Requested",SD-FIO-HBA,SAP Fiori elements,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesOrder-analyze_deliv_perf,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_ANLYTS_OP,Sales - Analytics,SAP_SD_BCG_SALES_ANLYTS_OP,Sales Analytics,,,,,SAP_BR_SALES_MANAGER,Sales Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you can monitor the current delivery performance of sales orders to keep track of customer satisfaction and retention.  The app provides you with insights into delivery performance, and, in the case of a deterioration, enables you to navigate to the relevant sales document and master data object pages for detailed information. You can also collaborate with your plant manager, or communicate with your customer to discuss or clarify a situation.  The app compares the customer's requested delivery date of sales order items with the actual delivery date of the corresponding outbound deliveries, that is, the latest outbound delivery, in the case of partial deliveries.",SD_DELIVPERFS1,/sap/bc/ui5_ui5/sap/sd_delivperfs1,cus.sd.deliverydelayss1,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2783
F2940,"R&D and Product Management, Sales, Supply Chain",Product Configuration Modeler,Variant Configuration Overview,Analytical,Variant Configuration Overview,LO-VCH-FIO-OVP,SAP Fiori elements: Overview Page,SAP S/4HANA,HANA DB or HANA side-by-side,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,VariantConfiguration-overview,SAP_TC_PLM_COMMON,PLM Technical Catalog,"SAP_LO_BC_VC_MODELING, SAP_SOM_BC_SUBSCR_ORDER","PLM - Variant Configuration, Subscription Order Management",SAP_LO_BCG_VC_MODELING,Variant Configuration Modeling,,,,,SAP_BR_PRODUCT_CONFIG_MODELER,Product Configuration Modeler,"SAP_BR_BOM_ENGINEER, SAP_BR_INTRNAL_SALESREP_SOM","BOM Engineer, Internal Sales Representative (SOM)","Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Healthcare; Higher Education and Research; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Public Sector; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"With this app you can display an overview for variant configuration. From the overview page you can navigate to changed or locked variant configuration objects, locked sales order items, recently changed object dependencies, recent configuration simulations and to favorite configurations.",LO_VCHCLF_OVPS1,/sap/bc/ui5_ui5/sap/lo_vchclf_ovps1,i2d.lo.vchclf.overviews1,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2940
F2941,Sales,Sales Manager,Sales Performance - Plan/Actual,Analytical,"Sales Performance - Plan/Actual, Sales Performance - Plan/Actual",SD-FIO-HBA,SAP Fiori elements,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesPlan-analyzeSalesPerformance,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SP_PROC,Sales - Sales Planning,SAP_SD_BCG_SP_PROC,Sales Planning,,,,,SAP_BR_SALES_MANAGER,Sales Manager,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you can compare planned and actual sales data on different dimensions, such as sales organization, customer, and product. By doing so, you can analyze to what extent your sales targets are being achieved and thus gain insights into your current sales performance. You use this app after you have created at least one sales plan in the Manage Sales Plans app.",SALESPERF_MANS1,/sap/bc/ui5_ui5/sap/salesperf_mans1,cus.sd.salesperformances1,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2941
F3245,Sales,Internal Sales Representative,Manage Duplicate Sales Documents,"Transactional, Analytical","Manage Duplicate Sales Documents, Manage Duplicate Sales Documents - Current Month",SD-ANA,SAP Fiori elements,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesDocument-manageDuplicates,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_DOC_LIST,Sales - Sales Document Lists,SAP_SD_BCG_SALES_DOC_LIST,Sales Document Lists,,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Higher Education and Research; Industrial Manufacturing; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Public Sector; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"With this app, you can search for duplicate sales documents, for example, sales orders, quotations and returns, and reject the ones not required, to avoid duplicate sales documents being processed multiple times. By rejecting duplicates, you avoid high costs, for example, due to unnecessary returns, or by causing a product to be out of stock unnecessarily.  You search according to various criteria, such as creation period, sales document, sales document category, sales organization, sold-to party, created by, and overall status.  The system detects duplicates according to the following criteria:  SD document categoryNote The following SD document categories are supported for this app: Inquiry  Quotation   Order   Contract  Return Order Without Charge  Credit Memo Request  Debit Memo Request    Sales document type  Sales organization  Distribution channel Division  Sold-to party   Net value (of the sales document)   Transaction currency   Creation date   Customer reference   After checking the duplicates, you can reject the ones that are not relevant. The system then refreshes the list of duplicates, and the rejected duplicates are no longer displayed.  However, some sales documents might have differing entries and therefore not be duplicates at all. In order to be sure, you can compare sales documents to check possible different entries to analyze which ones you want to reject. The following entries might differ between sales documents:  Created by  Requested delivery date Rejection status Overall status (for example, if one item has already been delivered) Product  You can also branch to the sales document object page to see further details.",SD_SDODPL_MNGS1,/sap/bc/ui5_ui5/sap/sd_sdodpl_mngs1,cus.sd.duplicatesalesdoc.manage,SDD1,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F3245
F3408,Sales,Sales Manager,Predicted Delivery Delay,"Transactional, Analytical",Predicted Delivery Delay - No. of  Order Items,SD-FIO-HBA,SAP Fiori elements,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesOrder-manageDelay,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_DELIV_DLY_PRDT,Sales - Delivery Delay Prediction,SAP_SD_BCG_SLS_ORD_MNTRG,Sales Order Monitoring,,,,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"This app allows you to identify potential delays for open sales orders regarding the predicted delay of the planned delivery to the customer. The app enables you to take action early on to avoid a possible delay, for example, by instantly recognizing issues and triggering the appropriate actions.  It does this by focusing on the Predicted Delay of Delivery Creation and Predicted Delivery Processing Delay.",SD_PRDTDDELIVS1,/sap/bc/ui5_ui5/sap/sd_prdtddelivs1,cus.sd.sofulfil.prdtddelivs1,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F3408
F4092,Sales,Sales Manager,Customer Returns - Return Rate,Analytical,Customer Returns - Return Rate,SD-ANA,SAP Fiori: SAP Smart Business generic drill down app,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,CustomerReturn-ssb_ReturnRates,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,"SAP_SD_BC_RETURNS_ANA, SAP_SD_BC_SALES_OVP_DISPL","Sales - Customer Returns Analytics, Sales - Sales Overview",SAP_SD_BCG_RETURNS_ANA,Returns Analytics,,,,,SAP_BR_SALES_MANAGER,Sales Manager,"SAP_BR_INTERNAL_SALES_REP, SAP_BR_RETURNS_REFUND_CLERK","Internal Sales Representative, Returns and Refund Clerk","Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Retail; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you can analyze the return rate of your incoming sales orders according to various dimensions.",SBRT_APPSS1,/sap/bc/ui5_ui5/sap/sbrt_appss1,sap.ssb.report.1556181810307,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F4092
F4508,Sales,Internal Sales Representative,Sales Scheduling Agreements - Product Demand,Analytical,Sales Scheduling Agreements - Product Demand,SD-FIO-HBA,SAP Fiori (SAPUI5),SAP S/4HANA,HANA DB or HANA side-by-side,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,SalesSchedulingAgreement-analyzeDemand,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SA_ANALYZE,Sales - Sales Scheduling Agreement Analytics,SAP_SD_BCG_SSA,Sales Scheduling Agreements,,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Engineering, Construction, and Operations; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; Mining; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Utilities; Wholesale Distribution; obsolete - Entertainment",,"With this app, you as an internal sales representative can monitor product demand from sales scheduling agreements. For example, you can view customer demand for one given product or product demand from one particular customer based on a time frame, and look into further details on different dimensions. Such an overview offers valuable insights into how product demand fluctuates over time and may unfold in the future.",SADMNDANAS1,/sap/bc/ui5_ui5/sap/sadmndanas1,cus.sd.schedulingagreements.demands1,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F4508
F4645,Sales,Internal Sales Representative,Customers Overview,Analytical,Customers Overview,SD-SLS,SAP Fiori elements: Overview Page,SAP S/4HANA,HANA DB exclusive,SAP FIORI FOR SAP S/4HANA 2021,SAP S/4HANA 2021,,02 (05/2022) FPS,02 (05/2022) FPS,,Customer-displaySalesOverviewPage,SAP_TC_CEC_SD_COMMON,CEC: Customer Engagement and Commerce - SD,SAP_SD_BC_SALES_OVP_DISPL,Sales - Sales Overview,SAP_SD_BCG_SALES_OVP_DISPL,Sales Overview,,,,,SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative,,,"Aerospace and Defense; Automotive; Banking; Cargo Transportation and Logistics (Travel and Transportation); Chemicals; Consumer Products; Cross Industry; Defense and Security; Industrial Manufacturing; Insurance; Life Sciences; Media; Mill Products; OEM (High Tech); Oil, Gas, and Energy; Passenger Travel and Leisure (Travel and Transportation); Professional Services; Semiconductor (High Tech); Software Providers (High Tech); Sports and Entertainment; Telecommunications; Wholesale Distribution; obsolete - Entertainment",,"With this app, you can get an overview of the sales data of one or more customers.",SD_CUST360OVPS1,/sap/bc/ui5_ui5/sap/sd_cust360ovps1,cus.sd.customer360.ovp.isr,,,https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F4645
